t,nu_w,l,pi_w,activity_coefficient,activity_gap,labor_demand_coefficient,y,i,intertemporal_residual,lambda_w,kappa_w,wage_residual
26,3.725290298461914e-11,3.839775040325814e-11,-8.45459018217554e-12,0.0,1.0943358864928568e-10,0.0,2.6878425282280697e-11,2.457101771135583e-11,3.2311742677852644e-27,0.0,0.0,8.077935669463161e-28
27,1.862645149230957e-11,1.919887520162907e-11,-4.22729509108777e-12,0.0,5.471679432464284e-11,0.0,1.3439212641140348e-11,1.2285508855677916e-11,1.6155871338926322e-27,0.0,0.0,4.0389678347315804e-28
28,9.313225746154785e-12,9.599437600814535e-12,-2.113647545543885e-12,0.0,2.735839716232142e-11,0.0,6.719606320570174e-12,6.142754427838958e-12,8.077935669463161e-28,0.0,0.0,2.0194839173657902e-28
29,4.656612873077393e-12,4.7997188004072675e-12,-1.0568237727719425e-12,0.0,1.367919858116071e-11,0.0,3.359803160285087e-12,3.071377213919479e-12,4.0389678347315804e-28,0.0,0.0,2.0194839173657902e-28
30,2.3283064365386963e-12,2.3998594002036337e-12,-5.284118863859711e-13,0.0,6.839599290580355e-12,0.0,1.6799015801425435e-12,1.5356886069597396e-12,-4.0389678347315804e-28,0.0,0.0,5.048709793414476e-29
31,1.1641532182693482e-12,1.199929700101817e-12,-2.642059431929855e-13,0.0,3.4197996452901784e-12,0.0,8.399507900712719e-13,7.678443034798699e-13,-1.0097419586828951e-28,0.0,0.0,-5.048709793414476e-29
32,5.820766091346741e-13,5.999648500509086e-13,-1.3210297159649276e-13,0.0,1.7098998226450894e-12,0.0,4.1997539503563604e-13,3.8392215173993496e-13,1.0097419586828951e-28,0.0,0.0,1.262177448353619e-29
33,2.9103830456733704e-13,2.999824250254544e-13,-6.605148579824633e-14,0.0,8.54949911322545e-13,0.0,2.0998769751781807e-13,1.9196107586996756e-13,2.524354896707238e-29,0.0,0.0,-1.262177448353619e-29
34,1.4551915228366852e-13,1.4999121251272726e-13,-3.302574289912312e-14,0.0,4.2747495566127266e-13,0.0,1.0499384875890907e-13,9.598053793498384e-14,3.7865323450608567e-29,0.0,0.0,0.0
35,7.275957614183426e-14,7.499560625636368e-14,-1.6512871449561503e-14,0.0,2.1373747783063645e-13,0.0,5.2496924379454574e-14,4.7990268967492e-14,1.262177448353619e-29,0.0,0.0,-6.310887241768095e-30
