t,nu_w,l,pi_w,activity_coefficient,activity_gap,labor_demand_coefficient,y,i,intertemporal_residual,lambda_w,kappa_w,wage_residual
36,3.637978807091713e-14,-4.8884367891548405e-14,-3.3828397441219694e-15,0.0,-1.3932044849091294e-13,0.0,-3.421905752408388e-14,3.130552845473418e-14,0.0,0.0,0.0,-1.9721522630525295e-30
37,1.8189894035458565e-14,-2.4442183945774086e-14,-1.6914198720611498e-15,0.0,-6.966022424545614e-14,0.0,-1.7109528762041858e-14,1.565276422736684e-14,0.0,0.0,0.0,0.0
38,9.094947017729283e-15,-1.2221091972886984e-14,-8.457099360307448e-16,0.0,-3.48301121227279e-14,0.0,-8.554764381020888e-15,7.826382113683166e-15,0.0,0.0,0.0,-4.930380657631324e-32
39,4.547473508864641e-15,-6.110545986443494e-15,-4.228549680155461e-16,0.0,-1.7415056061363956e-14,0.0,-4.2773821905104456e-15,3.913191056841322e-15,7.888609052210118e-31,0.0,0.0,-1.4791141972893971e-31
40,2.2737367544323206e-15,-3.0552729932218124e-15,-2.114274840079486e-16,0.0,-8.707528030682164e-15,0.0,-2.1386910952552685e-15,1.956595528420398e-15,0.0,0.0,0.0,-6.162975822039155e-32
41,1.1368683772161603e-15,-1.5276364966110363e-15,-1.0571374200414929e-16,0.0,-4.353764015341453e-15,0.0,-1.0693455476277254e-15,9.782977642099364e-16,-1.9721522630525295e-31,0.0,0.0,1.8488927466117464e-32
42,5.684341886080802e-16,-7.638182483057153e-16,-5.285687100224676e-17,0.0,-2.176882007671288e-15,0.0,-5.346727738140006e-16,4.891488821047101e-16,0.0,0.0,0.0,3.0814879110195774e-33
43,2.842170943040401e-16,-3.819091241531224e-16,-2.6428435501290278e-17,0.0,-1.0884410038363988e-15,0.0,-2.6733638690718565e-16,2.4457444105210466e-16,4.930380657631324e-32,0.0,0.0,-4.622231866529366e-33
44,1.4210854715202004e-16,-1.909545620768935e-16,-1.3214217750804386e-17,0.0,-5.442205019191464e-16,0.0,-1.3366819345382544e-16,1.2228722052581346e-16,0.0,0.0,0.0,-5.3926038442842604e-33
45,7.105427357601002e-17,-9.547728103884551e-17,-6.607108875551321e-18,0.0,-2.7211025096070967e-16,0.0,-6.683409672719185e-17,6.114361026268304e-17,-2.465190328815662e-32,0.0,0.0,-1.1555579666323415e-33
46,3.552713678800501e-17,-4.773864051988605e-17,-3.3035544379122173e-18,0.0,-1.3605512548167524e-16,0.0,-3.3417048363920235e-17,3.0571805131136685e-17,0.0,0.0,0.0,3.851859888774472e-34
47,1.7763568394002505e-17,-2.386932026046799e-17,-1.6517772190776897e-18,0.0,-6.802756274233377e-17,0.0,-1.670852418232759e-17,1.528590256538597e-17,3.0814879110195774e-33,0.0,0.0,-5.7777898331617076e-34
48,8.881784197001253e-18,-1.193466013081681e-17,-8.258886096431238e-19,0.0,-3.4013781372827905e-17,0.0,-8.354262091571766e-18,7.642951282536566e-18,-1.5407439555097887e-33,0.0,0.0,-9.62964972193618e-35
49,4.440892098500626e-18,-5.9673300660443e-18,-4.129443049063211e-19,0.0,-1.7006890688226253e-17,0.0,-4.1771310462310094e-18,3.821475641141145e-18,0.0,0.0,0.0,-1.2037062152420224e-34
50,2.220446049250313e-18,-2.98366503370543e-18,-2.064721525163292e-19,0.0,-8.503445346060474e-18,0.0,-2.088565523593801e-18,1.9107378204758193e-18,-3.851859888774472e-34,0.0,0.0,-3.611118645726067e-35
51,1.1102230246251566e-18,-1.491832517576784e-18,-1.032360762978519e-19,0.0,-4.251722675093834e-18,0.0,-1.0442827623037488e-18,9.553689101783788e-19,-1.925929944387236e-34,0.0,0.0,-6.018531076210112e-36
52,5.551115123125783e-19,-7.45916259545796e-19,-5.1618038163454894e-20,0.0,-2.125861339705518e-18,0.0,-5.221413816820571e-19,4.776844550673959e-19,0.0,0.0,0.0,-3.009265538105056e-35
53,2.7755575615628914e-19,-3.729581305553787e-19,-2.5809019069667255e-20,0.0,-1.0629306720828292e-18,0.0,-2.610706913887651e-19,2.3884222755178823e-19,-4.81482486096809e-35,0.0,0.0,3.009265538105056e-36
54,1.3877787807814457e-19,-1.864790660762537e-19,-1.290450949503048e-20,0.0,-5.31465338317323e-19,0.0,-1.3053534625337758e-19,1.1942111383559886e-19,2.407412430484045e-35,0.0,0.0,-2.256949153578792e-36
