t,nu,x,pi_p,y,c,n,mrs,mpl,mc_gap,mc_slope,mc_identity_error,i,is_residual,omega_p,lambda_p,kappa_p,price_residual
57,1.734723475976807e-20,-1.79776386928518e-20,-6.111210570425215e-21,-1.79776386928518e-20,-1.79776386928518e-20,-2.3970184923802398e-20,-1.3782856331186377e-19,5.9925462309505995e-21,-1.4382110954281437e-19,0.0,0.0,5.9332140675237735e-21,7.52316384526264e-37,0.0,0.0,0.0,7.52316384526264e-37
58,8.673617379884036e-21,-8.988819310696052e-21,-3.0556053146319747e-21,-8.988819310696052e-21,-8.988819310696052e-21,-1.1985092414261402e-20,-6.891428138200306e-20,2.9962731035653505e-21,-7.19105544855684e-20,0.0,0.0,2.9666069940990666e-21,0.0,0.0,0.0,0.0,-1.316553672920962e-36
59,4.336808689942018e-21,-4.494409623368884e-21,-1.5278026932281013e-21,-4.494409623368884e-21,-4.494409623368884e-21,-5.992546164491845e-21,-3.4457140445828106e-20,1.4981365411229613e-21,-3.5955276986951064e-20,0.0,0.0,1.4833034471787555e-21,-3.76158192263132e-37,0.0,0.0,0.0,3.76158192263132e-37
60,2.168404344971009e-21,-2.2472047877560108e-21,-7.63901388434117e-22,-2.2472047877560108e-21,-2.2472047877560108e-21,-2.9962730503413477e-21,-1.7228570039462747e-20,7.490682625853369e-22,-1.7977638302048083e-20,0.0,0.0,7.41651663850332e-22,0.0,0.0,0.0,0.0,0.0
61,1.0842021724855045e-21,-1.1236023832969228e-21,-3.8195074060875603e-22,-1.1236023832969228e-21,-1.1236023832969228e-21,-1.4981365110625637e-21,-8.61428493860974e-21,3.7453412776564093e-22,-8.98881906637538e-21,0.0,0.0,3.708257636602551e-22,9.4039548065783e-38,0.0,0.0,0.0,7.052966104933725e-38
62,5.421010862427522e-22,-5.618012006372225e-22,-1.9097541899944532e-22,-5.618012006372225e-22,-5.618012006372225e-22,-7.490682675162966e-22,-4.307142538218705e-21,1.8726706687907415e-22,-4.494409605097779e-21,0.0,0.0,1.8541280766393145e-22,4.70197740328915e-38,0.0,0.0,0.0,-2.350988701644575e-38
63,2.710505431213761e-22,-2.809006358452889e-22,-9.548775712800217e-23,-2.809006358452889e-22,-2.809006358452889e-22,-3.7453418112705186e-22,-2.1535715414805483e-21,9.363354528176297e-23,-2.247205086762311e-21,0.0,0.0,9.270632794871175e-23,4.70197740328915e-38,0.0,0.0,0.0,-1.1754943508222875e-38
64,1.3552527156068806e-22,-1.4045038738355272e-22,-4.7743920513024496e-23,-1.4045038738355272e-22,-1.4045038738355272e-22,-1.8726718317807027e-22,-1.076786303273904e-21,4.681679579451757e-23,-1.1236030990684215e-21,0.0,0.0,4.6353092368207215e-23,-5.877471754111438e-39,0.0,0.0,0.0,2.938735877055719e-39
65,6.776263578034403e-23,-7.022530443065061e-23,-2.3871990584694887e-23,-7.022530443065061e-23,-7.022530443065061e-23,-9.363373924086747e-23,-5.383940006349879e-22,2.340843481021687e-23,-5.618024354452048e-22,0.0,0.0,2.3176486849470377e-23,-5.877471754111438e-39,0.0,0.0,0.0,-4.408103815583578e-39
66,3.3881317890172014e-23,-3.511281085650022e-23,-1.1936006724680002e-23,-3.511281085650022e-23,-3.511281085650022e-23,-4.681708114200029e-23,-2.6919821656650167e-22,1.1704270285500073e-23,-2.8090248685200173e-22,0.0,0.0,1.1588206446089484e-23,2.938735877055719e-39,0.0,0.0,0.0,2.938735877055719e-39
67,1.6940658945086007e-23,-1.755661700874664e-23,-5.967987401664102e-24,-1.755661700874664e-23,-1.755661700874664e-23,-2.3408822678328852e-23,-1.3460073040039089e-22,5.852205669582213e-24,-1.404529360699731e-22,0.0,0.0,5.794100716496525e-24,0.0,0.0,0.0,0.0,7.346839692639297e-40
68,8.470329472543004e-24,-8.778575401513487e-24,-2.983940890736627e-24,-8.778575401513487e-24,-8.778575401513487e-24,-1.1704767202017981e-23,-6.730241141160339e-23,2.9261918005044953e-24,-7.022860321210788e-23,0.0,0.0,2.897096211248877e-24,0.0,0.0,0.0,0.0,1.8367099231598242e-40
69,4.235164736271502e-24,-4.389608368570861e-24,-1.491870821693749e-24,-4.389608368570861e-24,-4.389608368570861e-24,-5.852811158094481e-24,-3.3653664159043264e-23,1.4632027895236203e-24,-3.511686694856688e-23,0.0,0.0,1.4486574576595206e-24,0.0,0.0,0.0,0.0,1.8367099231598242e-40
70,2.117582368135751e-24,-2.1951717340536794e-24,-7.457791768576609e-25,-2.1951717340536794e-24,-2.1951717340536794e-24,-2.9268956454049057e-24,-1.6829649961078207e-23,7.317239113512264e-25,-1.7561373872429432e-23,0.0,0.0,7.245171360925495e-25,-1.8367099231598242e-40,0.0,0.0,0.0,-1.3775324423698682e-40
71,1.0587911840678754e-24,-1.0979865550199384e-24,-3.7266804294119127e-25,-1.0979865550199384e-24,-1.0979865550199384e-24,-1.4639820733599178e-24,-8.417896921819528e-24,3.6599551833997946e-25,-8.783892440159506e-24,0.0,0.0,3.625408002785962e-25,-9.183549615799121e-41,0.0,0.0,0.0,0.0
72,5.293955920339377e-25,-5.494049961594212e-25,-1.86040758581921e-25,-5.494049961594212e-25,-5.494049961594212e-25,-7.325399948792282e-25,-4.212104970555562e-24,1.8313499871980704e-25,-4.3952399692753685e-24,0.0,0.0,1.8165882964112853e-25,-4.591774807899561e-41,0.0,0.0,0.0,-1.1479437019748901e-41
73,2.6469779601696886e-25,-2.7509340465847403e-25,-9.265276185981856e-26,-2.7509340465847403e-25,-2.7509340465847403e-25,-3.667912062112987e-25,-2.1090494357149674e-24,9.169780155282468e-26,-2.200747237267792e-24,0.0,0.0,9.133197764493176e-26,2.2958874039497803e-41,0.0,0.0,0.0,0.0
74,1.3234889800848443e-25,-1.3787416028615457e-25,-4.588726672738773e-26,-1.3787416028615457e-25,-1.3787416028615457e-25,-1.8383221371487274e-25,-1.0570352288605183e-24,4.5958053428718186e-26,-1.1029932822892364e-24,0.0,0.0,4.628372788163352e-26,0.0,0.0,0.0,0.0,2.8698592549372254e-42
75,6.617444900424222e-26,-6.914713017058383e-26,-2.2443302233937225e-26,-6.914713017058383e-26,-6.914713017058383e-26,-9.219617356077843e-26,-5.30127997974476e-25,2.3049043390194608e-26,-5.531770413646705e-25,0.0,0.0,2.38661043820134e-26,-2.8698592549372254e-42,0.0,0.0,0.0,1.4349296274686127e-42
76,3.308722450212111e-26,-3.4601182467371435e-26,-1.0679843321198988e-26,-3.4601182467371435e-26,-3.4601182467371435e-26,-4.6134909956495245e-26,-2.6527573224984763e-25,1.1533727489123811e-26,-2.7680945973897144e-25,0.0,0.0,1.2742311711901194e-26,2.8698592549372254e-42,0.0,0.0,0.0,3.587324068671532e-42
77,1.6543612251060554e-26,-1.7071018569308405e-26,-4.787852186161839e-27,-1.7071018569308405e-26,-1.7071018569308405e-26,-2.2761358092411207e-26,-1.3087780903136443e-25,5.690339523102802e-27,-1.3656814855446722e-25,0.0,0.0,7.227956650654246e-27,0.0,0.0,0.0,0.0,7.174648137343064e-43
78,8.271806125530277e-27,-7.966973704751236e-27,-1.876088213902924e-27,-7.966973704751236e-27,-7.966973704751236e-27,-1.0622631606334981e-26,-6.108013173642614e-26,2.6556579015837452e-27,-6.373578963800987e-26,0.0,0.0,4.461802091581986e-27,0.0,0.0,0.0,0.0,3.587324068671532e-43
79,4.1359030627651385e-27,-2.9916116186366284e-27,-5.135599945326212e-28,-2.9916116186366284e-27,-2.9916116186366284e-27,-3.988815491515504e-27,-2.293568907621415e-26,9.97203872878876e-28,-2.3932892949093024e-26,0.0,0.0,2.991611618636628e-27,-3.587324068671532e-43,0.0,0.0,0.0,-8.96831017167883e-44
